method,episode_idx,episode_id,start_index,goal_index,sampled_goal_gap,coverage_success,goal_state_success,state_dist,final_latent_distance,start_latent_distance,planning_latency_sec,max_coverage,final_coverage,steps_taken,skill_consistency,video_path
hierarchical,2,0,32,62,30,False,False,302.739013671875,0.014617185108363628,0.004484407603740692,0.2724997500044992,0.17450593355568816,0.17450593355568816,32,0.14734425814822316,hierarchical_episode_002.gif
hierarchical,3,0,46,72,26,False,False,293.90972900390625,0.01510724239051342,0.016220716759562492,0.26862092500232393,0.17450593355568816,0.17450593355568816,32,0.17084180936217308,hierarchical_episode_003.gif
hierarchical,4,0,3,29,26,False,True,8.592114448547363,0.00017876652418635786,0.011859335005283356,0.26888879999751225,0.17450593355568816,0.17450593355568816,6,0.4406255632638931,
hierarchical,5,0,15,46,31,False,False,149.93798828125,0.00017876652418635786,0.01407458633184433,0.300930862504174,0.17450593355568816,0.17450593355568816,32,0.10918242949992418,
hierarchical,6,0,51,75,24,False,False,361.9718017578125,0.014422043226659298,0.015558923594653606,0.30037141250795685,0.17450593355568816,0.17450593355568816,32,0.17707717791199684,
hierarchical,7,0,27,58,31,False,True,12.4270658493042,0.0011354637099429965,0.0013789432123303413,0.2813562999945134,0.17450593355568816,0.17450593355568816,8,0.22946812957525253,
hierarchical,8,0,7,38,31,False,False,29.234283447265625,0.002044164575636387,0.006178615149110556,0.2900645625049947,0.17450593355568816,0.17450593355568816,32,0.18169529736042023,
hierarchical,9,0,6,34,28,False,False,214.72340393066406,0.0026783570647239685,0.0007845931686460972,0.27589763751166174,0.17450593355568816,0.17450593355568816,32,0.1827982673421502,
hierarchical,10,0,45,71,26,False,False,284.0510559082031,0.016348617151379585,0.017645105719566345,0.2897689000092214,0.17450593355568816,0.17450593355568816,32,0.30564241018146276,
hierarchical,11,0,19,45,26,False,True,19.235546112060547,0.00017876652418635786,0.012686478905379772,0.2839767999976175,0.17450593355568816,0.17450593355568816,14,0.16527236625552177,
hierarchical,12,0,40,66,26,False,False,306.2845764160156,0.006802365183830261,0.0013311009388417006,0.2779527375023463,0.17450593355568816,0.17450593355568816,32,0.20462473668158054,
hierarchical,13,0,55,79,24,False,False,120.56251525878906,0.001485893502831459,0.002547019626945257,0.2581040000077337,0.17450593355568816,0.17450593355568816,32,0.32093002647161484,
hierarchical,14,0,24,52,28,False,False,362.89410400390625,0.010120207443833351,0.0017278781160712242,0.2628238124962081,0.17450593355568816,0.17450593355568816,32,0.2320284927263856,
hierarchical,15,0,28,57,29,False,False,224.19027709960938,0.010466916486620903,0.011454500257968903,0.2608701000062865,0.17450593355568816,0.17450593355568816,32,0.3338478598743677,
hierarchical,16,0,30,58,28,False,False,210.1402587890625,0.012044180184602737,0.004147260449826717,0.26544933750119526,0.17450593355568816,0.17450593355568816,32,0.16097003500908613,
hierarchical,17,0,55,79,24,False,False,398.7071228027344,0.0145298196002841,0.002547019626945257,0.2547002999999677,0.17450593355568816,0.17450593355568816,32,0.2319455649703741,
hierarchical,18,0,45,76,31,False,False,507.2746887207031,0.014972975477576256,0.01603388972580433,0.29139595000015106,0.17450593355568816,0.17450593355568816,32,0.2055363366380334,
hierarchical,19,0,39,68,29,False,False,123.0554428100586,0.007331939414143562,0.0013801984023302794,0.289010500004224,0.17450593355568816,0.17450593355568816,32,0.29077900387346745,
hierarchical,20,0,19,51,32,False,False,87.55326080322266,0.00017876652418635786,0.012686478905379772,0.2606451749961707,0.17450593355568816,0.17450593355568816,32,0.22520902566611767,
